filename,sr,duration_sec,nama,target,0_Absolute energy,0_Average power,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Entropy,0_Histogram mode,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Peak to peak distance,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance
07-11-2025 12.47(2).mp3,48000,1.848,azhari,buka,582.346278446278,315.12599760347837,17740.0,70963.0,-0.011101651936769485,0.007425346411764622,1.1273448773448773e-05,2.2546897546897547e-05,3.382034632034632e-05,4.5093795093795094e-05,5.636724386724387e-05,6.764069264069264e-05,7.891414141414142e-05,9.018759018759019e-05,0.00010146103896103897,0.00011273448773448773,0.9919101751201574,0.049547487497329706,0.012726657674647868,12.989169667422635,0.6061854958534241,-9.071651083794916e-05,0.035658481121992394,-8.749116022954695e-05,0.006201833875820739,-0.4058836102485657,1.0120691061019897,0.08102500193441929,1.9558329216973147,0.08102495115078634,0.006565042708987313
07-11-2025 12.47(3).mp3,48000,2.136,azhari,buka,456.9041459686487,213.9085217210602,20505.0,82022.0,-0.0077770790085196495,0.0052087861113250256,9.753433208489388e-06,1.9506866416978777e-05,2.9260299625468165e-05,3.9013732833957553e-05,4.876716604244694e-05,5.852059925093633e-05,6.827403245942572e-05,7.802746566791511e-05,8.778089887640449e-05,9.753433208489388e-05,0.9930759039216017,-0.02789485454559326,0.00871546904090792,13.699296816172463,0.5693132877349854,-7.876421791682252e-06,0.029296730163122037,-0.00011506360533530824,0.004283826565369964,-0.349468469619751,0.9187817573547363,0.06675615380163166,1.8453501777798673,0.06675615333697023,0.004456384008349081
07-11-2025 12.47(4).mp3,48000,1.968,azhari,buka,581.6209799823249,295.54224446769206,18892.0,75571.0,-0.009456523694097996,0.005387747660279274,1.0586043360433604e-05,2.117208672086721e-05,3.1758130081300816e-05,4.234417344173442e-05,5.2930216802168025e-05,6.351626016260163e-05,7.410230352303523e-05,8.468834688346883e-05,9.527439024390244e-05,0.00010586043360433605,0.9924336465458053,-0.0022473320364952143,0.00913716561626643,11.602197345354833,0.5662439465522766,-9.349751450788186e-05,0.03509458461759311,-0.0001238919867319055,0.004470622632652521,-0.46737655997276306,1.0336205065250397,0.0784669670207201,1.8829238482755364,0.0784669113170995,0.006157056171645557
07-11-2025 12.47(5).mp3,48000,2.232,azhari,buka,670.3195748082552,300.3251933616115,21427.0,85708.0,-0.007229822222143412,0.005129276774823666,9.333930704898446e-06,1.8667861409796893e-05,2.800179211469534e-05,3.7335722819593785e-05,4.6669653524492236e-05,5.600358422939068e-05,6.533751493428913e-05,7.467144563918757e-05,8.400537634408603e-05,9.333930704898447e-05,0.9933999842007585,-0.039712288975715604,0.00840152206365019,11.868107920068622,0.637779176235199,-6.702041457067779e-05,0.03411911434269449,-6.529546226374805e-05,0.004132386296987534,-0.4045153856277466,1.0422945618629456,0.07909940872975756,1.661353363485815,0.07909938033677176,0.006256711969661275
07-11-2025 12.47.mp3,48000,1.752,azhari,buka,491.31339803116407,280.4333563885591,16819.0,67276.0,-0.021351806819438934,0.011165378615260124,1.189117199391172e-05,2.378234398782344e-05,3.567351598173516e-05,4.756468797564688e-05,5.9455859969558596e-05,7.134703196347032e-05,8.323820395738203e-05,9.512937595129375e-05,0.00010702054794520547,0.00011891171993911719,0.9914223932125218,-0.025606855750083923,0.017904945882037282,10.10513494642765,0.5326070189476013,-5.357701441633127e-05,0.03756545647172017,-0.0003104725037701428,0.008256029803305864,-0.326183557510376,0.8587905764579773,0.07643488810027643,1.6890501252209027,0.07643486932287714,0.005842289248405306
07-11-2025 12.48(10).mp3,48000,1.896,azhari,buka,560.6510131720313,295.7052603893931,18201.0,72806.0,-0.011047327890992165,0.005819993559271097,1.0988045007032349e-05,2.1976090014064698e-05,3.2964135021097044e-05,4.3952180028129396e-05,5.494022503516174e-05,6.592827004219409e-05,7.691631504922645e-05,8.790436005625879e-05,9.889240506329114e-05,0.00010988045007032348,0.9921380238615319,0.0456337422132492,0.009686907986178994,10.588891591050423,0.6170384883880615,-1.4122296005945418e-05,0.03601743664832925,-0.00012559806054923683,0.004737870534881949,-0.42187923192977905,1.0389177203178406,0.07848858876277855,1.7825372285504781,0.0784885874922802,0.006160458366533323
07-11-2025 12.48(2).mp3,48000,2.016,azhari,buka,758.0220720232176,376.00689756956854,19353.0,77414.0,-0.011369207873940468,0.00658766645938158,1.0333994708994708e-05,2.0667989417989417e-05,3.1001984126984125e-05,4.1335978835978834e-05,5.166997354497354e-05,6.200396825396825e-05,7.233796296296296e-05,8.267195767195767e-05,9.300595238095238e-05,0.00010333994708994708,0.9926380373099595,-0.02131157517433163,0.009411478065885603,10.036802110319494,0.6211455464363098,-5.274890003164357e-05,0.04015492184538695,-0.00012152467388659716,0.004679461708292365,-0.3672500252723694,0.9883955717086792,0.08850647480037342,1.5205090700496513,0.08850645908148558,0.00783339329914268
07-11-2025 12.48(3).mp3,48000,2.088,azhari,buka,636.594222956871,304.8853327273162,20044.0,80179.0,-0.012135379016399384,0.006633940152823925,9.977650063856961e-06,1.9955300127713922e-05,2.993295019157088e-05,3.9910600255427844e-05,4.9888250319284805e-05,5.986590038314176e-05,6.984355044699872e-05,7.982120051085569e-05,8.979885057471264e-05,9.977650063856961e-05,0.9929099557436607,0.04745474010705947,0.010458237957209349,10.931334649056037,0.5985769033432007,-5.024000543494292e-05,0.03656894588466366,-0.00010382028631283902,0.005075971766927978,-0.4034633934497833,1.002040296792984,0.07969764356200625,1.5377965292411275,0.0796976277267928,0.006351711865278452
07-11-2025 12.48(4).mp3,48000,1.968,azhari,buka,329.8675490551436,167.61739892494305,18892.0,75571.0,-0.011196823790669441,0.00806400552392006,1.0586043360433604e-05,2.117208672086721e-05,3.1758130081300816e-05,4.234417344173442e-05,5.2930216802168025e-05,6.351626016260163e-05,7.410230352303523e-05,8.468834688346883e-05,9.527439024390244e-05,0.00010586043360433605,0.9924259604047037,0.03389436602592469,0.012590784346684813,10.682913210650124,0.4121735095977783,-3.452258612181704e-05,0.0281413200455229,-0.00021404280414571986,0.006259629037231207,-0.27560675144195557,0.6877802610397339,0.05909308062284204,1.7638800559949415,0.05909307053867448,0.0034919909856887575
07-11-2025 12.48(5).mp3,48000,1.848,azhari,buka,234.08890243604233,126.6729120427723,17740.0,70963.0,-0.011268414556980133,0.0065859234891831875,1.1273448773448773e-05,2.2546897546897547e-05,3.382034632034632e-05,4.5093795093795094e-05,5.636724386724387e-05,6.764069264069264e-05,7.891414141414142e-05,9.018759018759019e-05,0.00010146103896103897,0.00011273448773448773,0.9919005729389412,-0.028934595733881005,0.011185062117874622,11.523894542079415,0.3629821240901947,-1.9097633330422425e-05,0.024277794412808636,-0.0001787423389032483,0.005381422699429095,-0.23996667563915253,0.6029487997293472,0.05137109352588838,1.8819366273142097,0.051371089976035865,0.002638988885325973
