t,h-3,h-2,h-1,NO_2
2021-09-23,0.2823743918908153,0.19383661143040187,0.10529883096998842,0.1628611453511306
2021-09-24,0.19383661143040187,0.10529883096998842,0.1628611453511306,0.16923431527803615
2021-09-25,0.10529883096998842,0.1628611453511306,0.16923431527803615,0.24939653809625145
2021-09-26,0.1628611453511306,0.16923431527803615,0.24939653809625145,0.17738925260589394
2021-09-27,0.16923431527803615,0.24939653809625145,0.17738925260589394,0.2158950575927579
2021-09-28,0.24939653809625145,0.17738925260589394,0.2158950575927579,0.3537008701104035
2021-09-29,0.17738925260589394,0.2158950575927579,0.3537008701104035,0.29508603187334614
2021-09-30,0.2158950575927579,0.3537008701104035,0.29508603187334614,0.24644063848513623
2021-10-01,0.3537008701104035,0.29508603187334614,0.24644063848513623,0.501176022308237
2021-10-02,0.29508603187334614,0.24644063848513623,0.501176022308237,0.15472158090804333
2021-10-03,0.24644063848513623,0.501176022308237,0.15472158090804333,0.3413066312293357
2021-10-04,0.501176022308237,0.15472158090804333,0.3413066312293357,0.14875041659131463
2021-10-05,0.15472158090804333,0.3413066312293357,0.14875041659131463,0.2282516659903749
2021-10-06,0.3413066312293357,0.14875041659131463,0.2282516659903749,0.28647071314550904
2021-10-07,0.14875041659131463,0.2282516659903749,0.28647071314550904,0.3446897603006432
2021-10-08,0.2282516659903749,0.28647071314550904,0.3446897603006432,0.40290880745577734
2021-10-09,0.28647071314550904,0.3446897603006432,0.40290880745577734,0.26031809300374315
2021-10-10,0.3446897603006432,0.40290880745577734,0.26031809300374315,0.2686593012077099
2021-10-11,0.40290880745577734,0.26031809300374315,0.2686593012077099,0.42498470112398373
2021-10-12,0.26031809300374315,0.2686593012077099,0.42498470112398373,0.2315028439290029
2021-10-13,0.2686593012077099,0.42498470112398373,0.2315028439290029,0.24427705990174975
2021-10-14,0.42498470112398373,0.2315028439290029,0.24427705990174975,0.2382472296950227
2021-10-15,0.2315028439290029,0.24427705990174975,0.2382472296950227,0.24971462092534658
2021-10-16,0.24427705990174975,0.2382472296950227,0.24971462092534658,0.2995662471020724
2021-10-17,0.2382472296950227,0.24971462092534658,0.2995662471020724,0.20765917415050103
2021-10-18,0.24971462092534658,0.2995662471020724,0.20765917415050103,0.04822733154834738
2021-10-19,0.2995662471020724,0.20765917415050103,0.04822733154834738,0.11962541220357553
2021-10-20,0.20765917415050103,0.04822733154834738,0.11962541220357553,0.32410635866742943
2021-10-21,0.04822733154834738,0.11962541220357553,0.32410635866742943,0.454728081892658
2021-10-22,0.11962541220357553,0.32410635866742943,0.454728081892658,0.2638430080309078
2021-10-23,0.32410635866742943,0.454728081892658,0.2638430080309078,0.22751342369736555
2021-10-24,0.454728081892658,0.2638430080309078,0.22751342369736555,0.19118383936382327
2021-10-25,0.2638430080309078,0.22751342369736555,0.19118383936382327,0.47556525327541355
2021-10-26,0.22751342369736555,0.19118383936382327,0.47556525327541355,0.32477013688488665
2021-10-27,0.19118383936382327,0.47556525327541355,0.32477013688488665,0.2152786087643041
2021-10-28,0.47556525327541355,0.32477013688488665,0.2152786087643041,0.10578708064372155
2021-10-29,0.32477013688488665,0.2152786087643041,0.10578708064372155,0.2766160201190144
2021-10-30,0.2152786087643041,0.10578708064372155,0.2766160201190144,0.26289112433973955
2021-10-31,0.10578708064372155,0.2766160201190144,0.26289112433973955,0.10201924292802994
2021-11-01,0.2766160201190144,0.26289112433973955,0.10201924292802994,0.12941773990084846
2021-11-02,0.26289112433973955,0.10201924292802994,0.12941773990084846,0.2404040403890572
2021-11-03,0.10201924292802994,0.12941773990084846,0.2404040403890572,0.1512955135663256
2021-11-04,0.12941773990084846,0.2404040403890572,0.1512955135663256,0.11258722430101314
2021-11-05,0.2404040403890572,0.1512955135663256,0.11258722430101314,0.07387893503570067
2021-11-06,0.1512955135663256,0.11258722430101314,0.07387893503570067,0.15985534641753654
2021-11-07,0.11258722430101314,0.07387893503570067,0.15985534641753654,0.14452141951542577
2021-11-08,0.07387893503570067,0.15985534641753654,0.14452141951542577,0.14887215792618846
2021-11-09,0.15985534641753654,0.14452141951542577,0.14887215792618846,0.1532228963369512
2021-11-10,0.14452141951542577,0.14887215792618846,0.1532228963369512,0.16803397549722973
2021-11-11,0.14887215792618846,0.1532228963369512,0.16803397549722973,0.09972981200896971
2021-11-12,0.1532228963369512,0.16803397549722973,0.09972981200896971,0.12682340544447943
2021-11-13,0.16803397549722973,0.09972981200896971,0.12682340544447943,0.15391699887998914
2021-11-14,0.09972981200896971,0.12682340544447943,0.15391699887998914,0.18101059231549885
2021-11-15,0.12682340544447943,0.15391699887998914,0.18101059231549885,0.13822348262289916
