t,h-28,h-16,h-7,h-22,h-9,h-8,h-4,h-21,h-10,h-11,h-2,h-6,h-5,h-1,NO_2
2021-10-20,0.10529883096998842,0.14875041659131463,0.24427705990174975,0.3537008701104035,0.42498470112398373,0.2315028439290029,0.2995662471020724,0.29508603187334614,0.2686593012077099,0.26031809300374315,0.04822733154834738,0.2382472296950227,0.24971462092534658,0.11962541220357553,0.32410635866742943
2021-10-21,0.1628611453511306,0.2282516659903749,0.2382472296950227,0.29508603187334614,0.2315028439290029,0.24427705990174975,0.20765917415050103,0.24644063848513623,0.42498470112398373,0.2686593012077099,0.11962541220357553,0.24971462092534658,0.2995662471020724,0.32410635866742943,0.454728081892658
2021-10-22,0.16923431527803615,0.28647071314550904,0.24971462092534658,0.24644063848513623,0.24427705990174975,0.2382472296950227,0.04822733154834738,0.501176022308237,0.2315028439290029,0.42498470112398373,0.32410635866742943,0.2995662471020724,0.20765917415050103,0.454728081892658,0.2638430080309078
2021-10-23,0.24939653809625145,0.3446897603006432,0.2995662471020724,0.501176022308237,0.2382472296950227,0.24971462092534658,0.11962541220357553,0.15472158090804333,0.24427705990174975,0.2315028439290029,0.454728081892658,0.20765917415050103,0.04822733154834738,0.2638430080309078,0.22751342369736555
2021-10-24,0.17738925260589394,0.40290880745577734,0.20765917415050103,0.15472158090804333,0.24971462092534658,0.2995662471020724,0.32410635866742943,0.3413066312293357,0.2382472296950227,0.24427705990174975,0.2638430080309078,0.04822733154834738,0.11962541220357553,0.22751342369736555,0.19118383936382327
2021-10-25,0.2158950575927579,0.26031809300374315,0.04822733154834738,0.3413066312293357,0.2995662471020724,0.20765917415050103,0.454728081892658,0.14875041659131463,0.24971462092534658,0.2382472296950227,0.22751342369736555,0.11962541220357553,0.32410635866742943,0.19118383936382327,0.47556525327541355
2021-10-26,0.3537008701104035,0.2686593012077099,0.11962541220357553,0.14875041659131463,0.20765917415050103,0.04822733154834738,0.2638430080309078,0.2282516659903749,0.2995662471020724,0.24971462092534658,0.19118383936382327,0.32410635866742943,0.454728081892658,0.47556525327541355,0.32477013688488665
2021-10-27,0.29508603187334614,0.42498470112398373,0.32410635866742943,0.2282516659903749,0.04822733154834738,0.11962541220357553,0.22751342369736555,0.28647071314550904,0.20765917415050103,0.2995662471020724,0.47556525327541355,0.454728081892658,0.2638430080309078,0.32477013688488665,0.2152786087643041
2021-10-28,0.24644063848513623,0.2315028439290029,0.454728081892658,0.28647071314550904,0.11962541220357553,0.32410635866742943,0.19118383936382327,0.3446897603006432,0.04822733154834738,0.20765917415050103,0.32477013688488665,0.2638430080309078,0.22751342369736555,0.2152786087643041,0.10578708064372155
2021-10-29,0.501176022308237,0.24427705990174975,0.2638430080309078,0.3446897603006432,0.32410635866742943,0.454728081892658,0.47556525327541355,0.40290880745577734,0.11962541220357553,0.04822733154834738,0.2152786087643041,0.22751342369736555,0.19118383936382327,0.10578708064372155,0.2766160201190144
2021-10-30,0.15472158090804333,0.2382472296950227,0.22751342369736555,0.40290880745577734,0.454728081892658,0.2638430080309078,0.32477013688488665,0.26031809300374315,0.32410635866742943,0.11962541220357553,0.10578708064372155,0.19118383936382327,0.47556525327541355,0.2766160201190144,0.26289112433973955
2021-10-31,0.3413066312293357,0.24971462092534658,0.19118383936382327,0.26031809300374315,0.2638430080309078,0.22751342369736555,0.2152786087643041,0.2686593012077099,0.454728081892658,0.32410635866742943,0.2766160201190144,0.47556525327541355,0.32477013688488665,0.26289112433973955,0.10201924292802994
2021-11-01,0.14875041659131463,0.2995662471020724,0.47556525327541355,0.2686593012077099,0.22751342369736555,0.19118383936382327,0.10578708064372155,0.42498470112398373,0.2638430080309078,0.454728081892658,0.26289112433973955,0.32477013688488665,0.2152786087643041,0.10201924292802994,0.12941773990084846
2021-11-02,0.2282516659903749,0.20765917415050103,0.32477013688488665,0.42498470112398373,0.19118383936382327,0.47556525327541355,0.2766160201190144,0.2315028439290029,0.22751342369736555,0.2638430080309078,0.10201924292802994,0.2152786087643041,0.10578708064372155,0.12941773990084846,0.2404040403890572
2021-11-03,0.28647071314550904,0.04822733154834738,0.2152786087643041,0.2315028439290029,0.47556525327541355,0.32477013688488665,0.26289112433973955,0.24427705990174975,0.19118383936382327,0.22751342369736555,0.12941773990084846,0.10578708064372155,0.2766160201190144,0.2404040403890572,0.1512955135663256
2021-11-04,0.3446897603006432,0.11962541220357553,0.10578708064372155,0.24427705990174975,0.32477013688488665,0.2152786087643041,0.10201924292802994,0.2382472296950227,0.47556525327541355,0.19118383936382327,0.2404040403890572,0.2766160201190144,0.26289112433973955,0.1512955135663256,0.11258722430101314
2021-11-05,0.40290880745577734,0.32410635866742943,0.2766160201190144,0.2382472296950227,0.2152786087643041,0.10578708064372155,0.12941773990084846,0.24971462092534658,0.32477013688488665,0.47556525327541355,0.1512955135663256,0.26289112433973955,0.10201924292802994,0.11258722430101314,0.07387893503570067
2021-11-06,0.26031809300374315,0.454728081892658,0.26289112433973955,0.24971462092534658,0.10578708064372155,0.2766160201190144,0.2404040403890572,0.2995662471020724,0.2152786087643041,0.32477013688488665,0.11258722430101314,0.10201924292802994,0.12941773990084846,0.07387893503570067,0.15985534641753654
2021-11-07,0.2686593012077099,0.2638430080309078,0.10201924292802994,0.2995662471020724,0.2766160201190144,0.26289112433973955,0.1512955135663256,0.20765917415050103,0.10578708064372155,0.2152786087643041,0.07387893503570067,0.12941773990084846,0.2404040403890572,0.15985534641753654,0.14452141951542577
2021-11-08,0.42498470112398373,0.22751342369736555,0.12941773990084846,0.20765917415050103,0.26289112433973955,0.10201924292802994,0.11258722430101314,0.04822733154834738,0.2766160201190144,0.10578708064372155,0.15985534641753654,0.2404040403890572,0.1512955135663256,0.14452141951542577,0.14887215792618846
2021-11-09,0.2315028439290029,0.19118383936382327,0.2404040403890572,0.04822733154834738,0.10201924292802994,0.12941773990084846,0.07387893503570067,0.11962541220357553,0.26289112433973955,0.2766160201190144,0.14452141951542577,0.1512955135663256,0.11258722430101314,0.14887215792618846,0.1532228963369512
2021-11-10,0.24427705990174975,0.47556525327541355,0.1512955135663256,0.11962541220357553,0.12941773990084846,0.2404040403890572,0.15985534641753654,0.32410635866742943,0.10201924292802994,0.26289112433973955,0.14887215792618846,0.11258722430101314,0.07387893503570067,0.1532228963369512,0.16803397549722973
2021-11-11,0.2382472296950227,0.32477013688488665,0.11258722430101314,0.32410635866742943,0.2404040403890572,0.1512955135663256,0.14452141951542577,0.454728081892658,0.12941773990084846,0.10201924292802994,0.1532228963369512,0.07387893503570067,0.15985534641753654,0.16803397549722973,0.09972981200896971
2021-11-12,0.24971462092534658,0.2152786087643041,0.07387893503570067,0.454728081892658,0.1512955135663256,0.11258722430101314,0.14887215792618846,0.2638430080309078,0.2404040403890572,0.12941773990084846,0.16803397549722973,0.15985534641753654,0.14452141951542577,0.09972981200896971,0.12682340544447943
2021-11-13,0.2995662471020724,0.10578708064372155,0.15985534641753654,0.2638430080309078,0.11258722430101314,0.07387893503570067,0.1532228963369512,0.22751342369736555,0.1512955135663256,0.2404040403890572,0.09972981200896971,0.14452141951542577,0.14887215792618846,0.12682340544447943,0.15391699887998914
2021-11-14,0.20765917415050103,0.2766160201190144,0.14452141951542577,0.22751342369736555,0.07387893503570067,0.15985534641753654,0.16803397549722973,0.19118383936382327,0.11258722430101314,0.1512955135663256,0.12682340544447943,0.14887215792618846,0.1532228963369512,0.15391699887998914,0.18101059231549885
2021-11-15,0.04822733154834738,0.26289112433973955,0.14887215792618846,0.19118383936382327,0.15985534641753654,0.14452141951542577,0.09972981200896971,0.47556525327541355,0.07387893503570067,0.11258722430101314,0.15391699887998914,0.1532228963369512,0.16803397549722973,0.18101059231549885,0.13822348262289916
2021-11-16,0.11962541220357553,0.10201924292802994,0.1532228963369512,0.47556525327541355,0.14452141951542577,0.14887215792618846,0.12682340544447943,0.32477013688488665,0.15985534641753654,0.07387893503570067,0.18101059231549885,0.16803397549722973,0.09972981200896971,0.13822348262289916,0.09543637293029947
2021-11-17,0.32410635866742943,0.12941773990084846,0.16803397549722973,0.32477013688488665,0.14887215792618846,0.1532228963369512,0.15391699887998914,0.2152786087643041,0.14452141951542577,0.15985534641753654,0.13822348262289916,0.09972981200896971,0.12682340544447943,0.09543637293029947,0.3522940062297792
2021-11-18,0.454728081892658,0.2404040403890572,0.09972981200896971,0.2152786087643041,0.1532228963369512,0.16803397549722973,0.18101059231549885,0.10578708064372155,0.14887215792618846,0.14452141951542577,0.09543637293029947,0.12682340544447943,0.15391699887998914,0.3522940062297792,0.3484682160896085
2021-11-19,0.2638430080309078,0.1512955135663256,0.12682340544447943,0.10578708064372155,0.16803397549722973,0.09972981200896971,0.13822348262289916,0.2766160201190144,0.1532228963369512,0.14887215792618846,0.3522940062297792,0.15391699887998914,0.18101059231549885,0.3484682160896085,0.1820840200982753
2021-11-20,0.22751342369736555,0.11258722430101314,0.15391699887998914,0.2766160201190144,0.09972981200896971,0.12682340544447943,0.09543637293029947,0.26289112433973955,0.16803397549722973,0.1532228963369512,0.3484682160896085,0.18101059231549885,0.13822348262289916,0.1820840200982753,0.1674470976628825
2021-11-21,0.19118383936382327,0.07387893503570067,0.18101059231549885,0.26289112433973955,0.12682340544447943,0.15391699887998914,0.3522940062297792,0.10201924292802994,0.09972981200896971,0.16803397549722973,0.1820840200982753,0.13822348262289916,0.09543637293029947,0.1674470976628825,0.1528101752274897
2021-11-22,0.47556525327541355,0.15985534641753654,0.13822348262289916,0.10201924292802994,0.15391699887998914,0.18101059231549885,0.3484682160896085,0.12941773990084846,0.12682340544447943,0.09972981200896971,0.1674470976628825,0.09543637293029947,0.3522940062297792,0.1528101752274897,0.15174424731584663
2021-11-23,0.32477013688488665,0.14452141951542577,0.09543637293029947,0.12941773990084846,0.18101059231549885,0.13822348262289916,0.1820840200982753,0.2404040403890572,0.15391699887998914,0.12682340544447943,0.1528101752274897,0.3522940062297792,0.3484682160896085,0.15174424731584663,0.250292010688293
2021-11-24,0.2152786087643041,0.14887215792618846,0.3522940062297792,0.2404040403890572,0.13822348262289916,0.09543637293029947,0.1674470976628825,0.1512955135663256,0.18101059231549885,0.15391699887998914,0.15174424731584663,0.3484682160896085,0.1820840200982753,0.250292010688293,0.21577905087822213
2021-11-25,0.10578708064372155,0.1532228963369512,0.3484682160896085,0.1512955135663256,0.09543637293029947,0.3522940062297792,0.1528101752274897,0.11258722430101314,0.13822348262289916,0.18101059231549885,0.250292010688293,0.1820840200982753,0.1674470976628825,0.21577905087822213,0.18126609106815128
